product_id,product_name,category,stock_quantity,weekly_sales,supplier_delay_days,min_stock_level,price,last_sale_days,seasonality,risk_level
81,USB Flash,Safety,26,38,8,24,299,1,0,Medium
82,HDD,Mobile Accessories,26,31,3,21,2131,1,1,Medium
83,Receipt Printer,Printer Supplies,500,7,1,63,1285,22,0,Low
84,Monitor Stand,Mobile Accessories,34,4,4,66,1915,84,0,Medium
85,Toner,Storage Devices,20,50,10,38,1306,9,1,High
86,Toner,Office Supplies,589,7,2,70,1316,30,0,Low
87,Monitor Stand,Electronics,14,56,11,75,1033,4,1,High
88,HDD,Safety,67,38,8,41,98,4,1,Medium
89,Barcode Scanner,Computer Accessories,11,52,12,14,49,4,1,High
90,Monitor Stand,Computer Accessories,19,38,13,33,1386,5,1,High
91,Safety Gloves,Storage Devices,601,4,2,63,844,7,0,Low
92,Receipt Printer,Computer Accessories,32,38,6,31,61,6,0,Medium
93,Receipt Printer,Mobile Accessories,27,43,12,66,1176,0,1,High
94,Receipt Printer,Computer Accessories,34,38,6,32,445,5,0,Medium
95,Monitor Stand,Storage Devices,27,4,3,45,1787,105,0,Medium
96,Barcode Scanner,Printer Supplies,517,8,4,39,2484,13,0,Low
97,Safety Gloves,Safety,6,45,11,36,2442,0,1,High
98,Safety Gloves,Electronics,27,53,13,51,1129,6,0,High
99,Safety Gloves,Computer Accessories,499,1,2,57,1833,14,0,Low
100,Toner,Printer Supplies,49,11,4,47,1192,30,1,Medium
101,Barcode Scanner,Mobile Accessories,1,37,14,14,1045,0,0,High
102,Printer Cable,Safety,782,1,1,71,179,2,0,Low
103,Safety Gloves,Storage Devices,718,0,4,66,1236,11,1,Low
104,Monitor Stand,Electronics,50,38,6,45,2039,0,0,Medium
105,Safety Gloves,Computer Accessories,30,4,2,55,1471,80,0,Medium
106,Safety Gloves,Storage Devices,695,1,3,67,945,12,0,Low
107,Barcode Scanner,Safety,21,17,6,22,1617,23,0,Medium
108,USB Flash,Office Supplies,452,1,2,80,135,2,0,Low
109,Receipt Printer,Printer Supplies,448,3,1,62,1292,20,0,Low
110,USB Flash,Storage Devices,43,4,2,61,921,79,1,Medium
111,Safety Gloves,Office Supplies,8,49,15,30,616,4,1,High
112,USB Flash,Office Supplies,552,3,3,60,745,22,0,Low
113,Notebook,Mobile Accessories,33,36,12,65,1216,5,1,High
114,Notebook,Electronics,18,64,10,67,594,8,0,High
115,Mouse,Electronics,247,6,3,56,1722,1,0,Low
116,Ink Cartridge,Safety,12,50,10,74,2350,9,0,High
117,Laptop Charger,Office Supplies,227,3,1,32,1488,22,0,Low
118,Barcode Scanner,Computer Accessories,109,3,1,22,149,18,1,Low
119,USB Flash,Printer Supplies,20,13,8,17,1666,33,1,Medium
120,Router,Printer Supplies,24,32,8,19,35,0,0,Medium
121,Barcode Scanner,Office Supplies,20,44,9,27,2235,0,0,High
122,USB Flash,Electronics,73,16,3,79,2336,24,0,Medium
123,Router,Printer Supplies,696,2,1,63,1734,7,0,Low
124,Keyboard,Safety,39,37,6,30,1236,6,1,Medium
125,Router,Safety,35,38,5,33,1065,0,0,Medium
126,Mouse,Office Supplies,53,58,15,72,1474,7,1,High
127,Router,Printer Supplies,21,38,8,15,35,11,1,Medium
128,Barcode Scanner,Printer Supplies,481,3,3,47,2260,20,0,Low
129,Ink Cartridge,Printer Supplies,394,8,4,50,2458,22,0,Low
130,HDD,Mobile Accessories,560,3,4,80,2123,6,0,Low
131,Safety Gloves,Office Supplies,12,45,15,34,648,4,0,High
132,HDD,Computer Accessories,54,4,4,80,1040,96,0,Medium
133,Keyboard,Mobile Accessories,76,38,8,59,2193,0,1,Medium
134,Ink Cartridge,Computer Accessories,51,38,5,49,1135,0,0,Medium
135,Receipt Printer,Safety,136,5,1,17,2114,7,0,Low
136,Safety Gloves,Computer Accessories,493,2,1,47,1393,19,0,Low
137,Receipt Printer,Printer Supplies,539,5,1,70,1187,21,1,Low
138,Router,Printer Supplies,20,38,8,16,77,0,0,Medium
139,Switch,Safety,22,4,2,35,1305,72,0,Medium
140,Monitor Stand,Electronics,35,61,15,71,1045,4,1,High
141,Notebook,Office Supplies,5,47,10,70,2221,7,1,High
142,Toner,Printer Supplies,29,16,4,44,1267,21,1,Medium
143,Ink Cartridge,Electronics,19,65,15,27,2126,0,0,High
144,Pen Pack,Storage Devices,1,39,11,79,1192,4,1,High
145,Ink Cartridge,Safety,8,68,11,76,2390,10,1,High
146,Router,Storage Devices,311,5,1,78,161,5,0,Low
147,Safety Gloves,Mobile Accessories,0,58,15,10,1817,6,1,High
148,Notebook,Computer Accessories,27,38,14,74,501,3,0,High
149,Safety Gloves,Computer Accessories,22,57,12,69,1734,0,0,High
150,Switch,Mobile Accessories,237,4,2,28,2462,23,1,Low
151,Keyboard,Safety,115,38,8,74,1747,0,1,Medium
152,Safety Gloves,Storage Devices,13,63,10,45,1398,11,0,High
153,Safety Gloves,Computer Accessories,152,3,1,12,2096,25,0,Low
154,USB Flash,Computer Accessories,5,53,13,36,1042,7,1,High
155,Toner,Office Supplies,434,0,2,48,1424,4,0,Low
156,Router,Mobile Accessories,10,29,7,10,1316,11,0,Medium
157,Safety Gloves,Printer Supplies,304,0,1,50,1908,27,0,Low
158,Ink Cartridge,Safety,19,39,10,74,747,4,1,High
159,USB Flash,Safety,23,38,8,21,226,7,0,Medium
160,Mouse,Mobile Accessories,2,62,12,22,575,12,0,High
161,Safety Gloves,Electronics,46,38,5,44,588,16,0,Medium
162,Switch,Office Supplies,37,4,4,48,1911,62,0,Medium
163,Safety Gloves,Electronics,459,3,2,53,2320,13,0,Low
164,Pen Pack,Electronics,304,1,1,24,1173,20,0,Low
165,Keyboard,Storage Devices,42,13,7,40,293,9,0,Medium
166,Receipt Printer,Office Supplies,36,7,7,31,2283,16,1,Medium
167,Printer Cable,Safety,782,2,2,62,129,2,0,Low
168,Toner,Printer Supplies,0,52,15,21,629,1,0,High
169,Safety Gloves,Computer Accessories,18,39,13,65,1856,0,0,High
170,Pen Pack,Storage Devices,370,4,1,43,168,4,0,Low
171,Ink Cartridge,Safety,19,43,8,66,2284,11,0,High
172,Monitor Stand,Printer Supplies,10,50,14,66,907,2,1,High
173,Keyboard,Storage Devices,35,4,4,50,1871,75,0,Medium
174,Laptop Charger,Printer Supplies,471,4,1,70,1969,10,1,Low
175,Switch,Storage Devices,11,43,15,31,455,0,0,High
176,Mouse,Mobile Accessories,71,35,6,66,2201,13,0,Medium
177,Toner,Mobile Accessories,6,60,13,49,1038,0,1,High
178,Notebook,Mobile Accessories,70,30,5,70,795,7,0,Medium
179,Safety Gloves,Storage Devices,674,1,4,65,1072,11,0,Low
180,Receipt Printer,Storage Devices,14,4,4,28,1626,76,1,Medium
181,Safety Gloves,Computer Accessories,100,3,1,11,2304,22,0,Low
182,Barcode Scanner,Storage Devices,35,65,15,50,182,12,1,High
183,Keyboard,Mobile Accessories,9,4,2,10,2410,96,1,Medium
184,Toner,Storage Devices,12,49,9,32,1352,8,0,High
185,Notebook,Mobile Accessories,495,1,2,49,2307,8,1,Low
186,Ink Cartridge,Mobile Accessories,642,6,1,64,2186,3,1,Low
187,Laptop Charger,Electronics,400,4,1,48,2459,13,0,Low
188,Laptop Charger,Office Supplies,22,43,15,44,1194,0,0,High
189,HDD,Storage Devices,39,37,5,32,682,8,0,Medium
190,Monitor Stand,Storage Devices,15,4,3,22,2500,89,1,Medium
191,Printer Cable,Electronics,655,5,2,67,2408,12,0,Low
192,Keyboard,Computer Accessories,26,4,5,48,440,104,0,Medium
193,HDD,Printer Supplies,81,38,8,60,885,0,0,Medium
194,Pen Pack,Electronics,416,1,1,29,1156,17,0,Low
195,USB Flash,Electronics,73,6,3,74,2172,30,1,Medium
196,Toner,Electronics,20,41,9,35,2186,3,1,High
197,Toner,Office Supplies,454,1,1,55,1495,5,0,Low
198,Toner,Electronics,0,59,13,49,2500,2,0,High
199,Barcode Scanner,Electronics,238,2,1,29,85,25,0,Low
200,Printer Cable,Office Supplies,165,4,1,42,1098,6,0,Low
201,Safety Gloves,Computer Accessories,46,4,2,60,1367,72,1,Medium
202,Receipt Printer,Electronics,29,4,4,30,2225,87,1,Medium
203,Switch,Safety,513,1,1,64,166,4,0,Low
204,Keyboard,Safety,3,50,13,11,1697,8,0,High
205,HDD,Printer Supplies,21,37,8,17,678,13,0,Medium
206,Receipt Printer,Safety,20,4,3,41,121,77,0,Medium
207,Switch,Storage Devices,3,32,10,10,2063,0,1,High
208,Safety Gloves,Storage Devices,28,50,14,59,700,5,1,High
209,Safety Gloves,Computer Accessories,547,6,4,50,1498,17,1,Low
210,HDD,Printer Supplies,3,22,9,33,1760,12,0,High
211,Ink Cartridge,Printer Supplies,5,28,13,24,265,0,0,High
212,Monitor Stand,Storage Devices,31,4,3,48,1670,108,0,Medium
213,Switch,Safety,34,4,2,41,1281,85,1,Medium
214,Mouse,Office Supplies,7,60,11,53,785,1,1,High
215,Ink Cartridge,Printer Supplies,171,4,3,41,1755,20,0,Low
216,USB Flash,Storage Devices,625,8,4,61,35,6,1,Low
217,HDD,Mobile Accessories,387,6,4,68,766,19,0,Low
218,Switch,Office Supplies,329,0,3,26,1585,18,0,Low
219,Laptop Charger,Printer Supplies,84,38,3,64,2136,4,1,Medium
220,Safety Gloves,Printer Supplies,10,30,14,56,635,2,0,High
221,Safety Gloves,Storage Devices,7,15,7,14,1102,10,0,Medium
222,Router,Printer Supplies,82,38,7,74,2230,13,1,Medium
223,Ink Cartridge,Printer Supplies,317,0,1,52,1164,19,0,Low
224,Laptop Charger,Office Supplies,13,56,11,38,1358,11,1,High
225,Printer Cable,Mobile Accessories,27,38,8,23,351,16,0,Medium
226,Barcode Scanner,Printer Supplies,484,5,1,39,2294,16,0,Low
227,Receipt Printer,Office Supplies,330,5,3,60,1482,25,0,Low
228,Laptop Charger,Office Supplies,25,44,15,46,1256,6,0,High
229,Laptop Charger,Printer Supplies,71,38,3,67,1937,3,0,Medium
230,Router,Storage Devices,171,1,2,22,636,16,1,Low
231,Monitor Stand,Electronics,50,38,7,44,2191,0,1,Medium
232,Barcode Scanner,Safety,14,4,3,20,2223,115,1,Medium
233,Notebook,Computer Accessories,14,43,13,66,675,2,0,High
234,Printer Cable,Electronics,272,6,1,20,63,25,0,Low
235,Notebook,Mobile Accessories,508,0,2,52,2331,8,0,Low
236,Keyboard,Safety,7,4,5,11,415,78,0,Medium
237,Ink Cartridge,Mobile Accessories,473,1,2,42,855,6,0,Low
238,Switch,Safety,39,4,2,65,2070,81,1,Medium
239,Toner,Printer Supplies,0,53,12,48,1342,0,1,High
240,Pen Pack,Storage Devices,292,2,1,47,74,9,0,Low
241,HDD,Mobile Accessories,2,44,13,19,1048,5,1,High
242,Printer Cable,Safety,469,5,4,71,2090,3,0,Low
243,HDD,Printer Supplies,26,42,9,40,444,1,1,High
244,HDD,Electronics,51,4,2,59,1293,70,1,Medium
245,Ink Cartridge,Mobile Accessories,561,6,1,54,1942,6,0,Low
246,Laptop Charger,Electronics,340,3,1,53,2186,8,0,Low
247,Switch,Printer Supplies,55,38,5,43,1673,0,1,Medium
248,HDD,Safety,138,4,3,30,1756,8,0,Low
249,HDD,Storage Devices,647,0,3,76,2199,30,0,Low
250,Switch,Storage Devices,17,58,14,29,1386,8,0,High
251,Monitor Stand,Mobile Accessories,46,8,5,46,1589,2,0,Medium
252,Keyboard,Computer Accessories,37,4,5,46,359,104,1,Medium
253,Pen Pack,Printer Supplies,293,1,2,42,1276,21,1,Low
254,Notebook,Storage Devices,10,8,6,10,788,12,0,Medium
255,Laptop Charger,Printer Supplies,11,64,11,70,1379,1,1,High
256,Monitor Stand,Printer Supplies,5,57,12,68,2500,1,1,High
257,Safety Gloves,Computer Accessories,47,4,2,61,1548,78,1,Medium
258,USB Flash,Computer Accessories,0,42,13,43,1076,1,1,High
259,Barcode Scanner,Mobile Accessories,2,44,13,12,720,1,0,High
260,Printer Cable,Mobile Accessories,25,40,8,63,1562,5,1,High
261,Monitor Stand,Electronics,62,38,6,47,2057,0,0,Medium
262,HDD,Printer Supplies,75,38,8,60,1891,0,0,Medium
263,HDD,Printer Supplies,119,2,1,14,716,25,1,Low
264,Router,Safety,44,38,5,42,1064,5,0,Medium
265,Barcode Scanner,Office Supplies,659,2,1,59,1682,28,0,Low
266,Toner,Storage Devices,10,60,14,56,2500,1,0,High
267,Switch,Computer Accessories,8,62,14,26,1342,8,1,High
268,Switch,Storage Devices,15,47,12,31,1591,3,1,High
269,Barcode Scanner,Electronics,47,69,14,57,255,9,0,High
270,Laptop Charger,Office Supplies,251,6,1,35,1536,20,0,Low
271,Safety Gloves,Safety,27,4,5,56,35,68,0,Medium
272,HDD,Printer Supplies,83,38,8,60,922,0,0,Medium
273,Notebook,Electronics,19,66,11,68,700,10,0,High
274,HDD,Storage Devices,451,9,3,77,2461,29,0,Low
275,Router,Computer Accessories,126,38,5,80,2230,0,1,Medium
276,Monitor Stand,Mobile Accessories,30,4,4,61,2018,79,0,Medium
277,Safety Gloves,Electronics,15,50,14,58,1038,5,0,High
278,Keyboard,Mobile Accessories,74,38,8,61,2016,9,1,Medium
279,USB Flash,Storage Devices,687,6,4,58,35,12,0,Low
280,Switch,Safety,407,1,1,60,225,5,0,Low
281,Laptop Charger,Printer Supplies,77,38,4,62,1846,0,0,Medium
282,USB Flash,Office Supplies,620,3,2,80,220,1,1,Low
283,Barcode Scanner,Mobile Accessories,542,5,2,77,2418,22,0,Low
284,HDD,Mobile Accessories,458,5,1,67,658,18,1,Low
285,Receipt Printer,Safety,122,7,1,21,2349,0,0,Low
286,HDD,Printer Supplies,22,35,7,20,741,3,0,Medium
287,Switch,Electronics,623,5,2,77,1013,19,0,Low
288,Safety Gloves,Electronics,6,44,11,29,2023,4,0,High
289,Notebook,Safety,386,4,4,60,484,1,0,Low
290,Safety Gloves,Computer Accessories,496,3,2,62,1690,13,1,Low
291,Printer Cable,Safety,26,45,12,44,1747,6,1,High
292,Keyboard,Safety,1,46,13,10,1750,12,1,High
293,Notebook,Storage Devices,9,8,7,10,1905,23,1,Medium
294,Keyboard,Computer Accessories,35,13,8,37,1510,22,0,Medium
295,Notebook,Mobile Accessories,105,25,7,74,2478,0,1,Medium
296,HDD,Printer Supplies,0,38,9,34,2004,9,0,High
297,Notebook,Safety,494,3,2,68,481,1,0,Low
298,Safety Gloves,Storage Devices,36,54,14,55,936,0,0,High
299,Toner,Electronics,23,40,12,26,2132,4,1,High
300,Safety Gloves,Computer Accessories,124,4,1,18,2311,23,0,Low
301,Barcode Scanner,Office Supplies,455,1,1,49,1747,14,0,Low
302,Router,Computer Accessories,81,38,5,79,2190,3,0,Medium
303,Laptop Charger,Office Supplies,249,0,1,34,1580,22,0,Low
304,HDD,Office Supplies,59,38,5,57,1367,12,0,Medium
305,Monitor Stand,Computer Accessories,13,63,14,21,1234,10,1,High
306,HDD,Safety,231,0,2,33,2162,12,0,Low
307,Monitor Stand,Storage Devices,11,6,3,20,2500,120,0,Medium
308,Receipt Printer,Office Supplies,40,10,7,31,2358,15,1,Medium
309,Safety Gloves,Mobile Accessories,25,4,2,45,812,98,1,Medium
310,USB Flash,Safety,187,4,5,28,873,23,1,Low
311,Switch,Printer Supplies,716,7,3,67,641,23,0,Low
312,Keyboard,Safety,40,38,6,29,1472,2,1,Medium
313,USB Flash,Office Supplies,551,3,2,80,35,0,0,Low
314,Ink Cartridge,Printer Supplies,11,38,13,38,1319,3,0,High
315,Router,Printer Supplies,104,38,8,78,2500,20,0,Medium
316,Keyboard,Office Supplies,3,37,14,29,268,5,0,High
317,Ink Cartridge,Mobile Accessories,714,1,1,72,1320,3,0,Low
318,Ink Cartridge,Storage Devices,13,64,12,66,376,3,0,High
319,HDD,Printer Supplies,63,38,8,60,737,3,0,Medium
320,Safety Gloves,Safety,23,4,5,41,1164,88,0,Medium
321,Notebook,Storage Devices,10,12,7,10,1937,26,0,Medium
322,USB Flash,Safety,190,4,4,21,1150,22,0,Low
323,Keyboard,Safety,11,53,15,59,1130,4,0,High
324,Toner,Printer Supplies,21,62,15,59,1773,2,1,High
325,Receipt Printer,Electronics,24,4,4,32,2302,83,1,Medium
326,Notebook,Storage Devices,13,9,7,17,1926,19,0,Medium
327,Toner,Office Supplies,492,5,1,65,1107,32,0,Low
328,Switch,Storage Devices,0,39,13,18,2305,2,1,High
329,Barcode Scanner,Electronics,40,71,14,56,308,9,1,High
330,Barcode Scanner,Printer Supplies,2,35,8,32,35,10,0,High
331,Toner,Safety,247,1,2,28,732,24,0,Low
332,Notebook,Storage Devices,21,6,6,18,875,20,1,Medium
333,Printer Cable,Electronics,56,12,6,55,302,15,0,Medium
334,Laptop Charger,Computer Accessories,36,14,7,31,323,15,1,Medium
335,Printer Cable,Mobile Accessories,26,38,8,25,225,2,1,Medium
336,Ink Cartridge,Printer Supplies,15,34,11,32,1198,11,1,High
337,Router,Computer Accessories,19,39,10,38,1265,11,1,High
338,Keyboard,Safety,111,38,7,77,1843,3,1,Medium
339,Safety Gloves,Electronics,8,26,11,24,2046,6,1,High
340,Keyboard,Computer Accessories,26,14,8,27,1496,14,0,Medium
341,Ink Cartridge,Printer Supplies,11,41,12,28,1369,8,1,High
342,Router,Storage Devices,353,4,1,77,35,1,0,Low
343,Receipt Printer,Computer Accessories,37,38,6,35,645,4,0,Medium
344,Monitor Stand,Printer Supplies,4,59,11,73,2300,10,1,High
345,Barcode Scanner,Office Supplies,676,1,3,64,1363,29,0,Low
346,Barcode Scanner,Safety,13,21,6,17,1754,25,0,Medium
347,Notebook,Electronics,40,41,15,80,1068,8,1,High
348,USB Flash,Electronics,233,2,1,23,746,28,0,Low
349,Router,Mobile Accessories,16,29,7,12,1247,2,1,Medium
350,Switch,Computer Accessories,545,1,2,51,1543,6,0,Low
351,Receipt Printer,Electronics,25,4,4,33,2346,76,0,Medium
352,Safety Gloves,Electronics,24,39,13,56,907,3,0,High
353,Toner,Printer Supplies,361,4,1,41,781,22,0,Low
354,Switch,Computer Accessories,7,66,11,24,1409,9,1,High
355,Keyboard,Printer Supplies,7,68,12,18,782,0,1,High
356,Monitor Stand,Mobile Accessories,169,5,3,29,803,7,0,Low
357,Ink Cartridge,Office Supplies,0,58,9,67,1255,11,1,High
358,Switch,Safety,426,2,3,73,1310,27,0,Low
359,Receipt Printer,Mobile Accessories,12,44,9,69,961,11,0,High
360,Laptop Charger,Safety,40,4,4,67,638,89,0,Medium
361,Safety Gloves,Printer Supplies,10,57,9,75,1697,8,1,High
362,Mouse,Electronics,4,69,14,65,2086,11,1,High
363,Switch,Mobile Accessories,18,8,4,24,1964,75,0,Medium
364,HDD,Mobile Accessories,508,2,4,64,632,20,1,Low
365,Switch,Computer Accessories,252,0,1,38,1115,23,0,Low
366,Printer Cable,Electronics,221,1,1,26,35,23,0,Low
367,Pen Pack,Electronics,31,4,2,66,721,98,0,Medium
368,Pen Pack,Printer Supplies,79,38,2,74,546,2,1,Medium
369,Router,Office Supplies,26,4,4,51,323,120,0,Medium
370,Safety Gloves,Printer Supplies,11,43,13,67,2045,2,1,High
371,Toner,Printer Supplies,358,7,1,38,360,21,1,Low
372,Safety Gloves,Computer Accessories,554,7,3,47,1427,18,0,Low
373,Safety Gloves,Computer Accessories,33,11,2,60,1496,73,1,Medium
374,Mouse,Computer Accessories,24,21,7,21,1613,9,0,Medium
375,Router,Computer Accessories,250,4,2,16,766,23,0,Low
376,Monitor Stand,Storage Devices,9,4,6,10,973,12,0,Medium
377,Mouse,Computer Accessories,12,38,3,10,1980,8,1,Medium
378,Switch,Office Supplies,42,4,4,60,1568,73,0,Medium
379,Notebook,Electronics,618,1,3,69,1329,30,0,Low
380,Pen Pack,Electronics,32,6,2,69,752,105,1,Medium
381,Printer Cable,Computer Accessories,219,8,2,13,1774,13,0,Low
382,Router,Printer Supplies,18,34,15,53,307,1,1,High
383,USB Flash,Electronics,263,1,1,28,995,26,0,Low
384,Safety Gloves,Computer Accessories,494,7,2,57,1988,16,0,Low
385,USB Flash,Office Supplies,514,0,2,80,267,3,0,Low
386,Toner,Electronics,16,41,12,31,1814,3,1,High
387,Mouse,Computer Accessories,14,38,3,14,1566,13,0,Medium
388,Barcode Scanner,Safety,365,6,3,63,2179,11,0,Low
389,Receipt Printer,Printer Supplies,277,0,1,34,2484,10,1,Low
390,Mouse,Computer Accessories,17,20,7,16,1757,6,1,Medium
391,Ink Cartridge,Electronics,3,61,15,33,2353,0,1,High
392,Notebook,Mobile Accessories,86,35,5,71,1010,2,0,Medium
393,HDD,Electronics,35,4,2,61,1490,65,0,Medium
394,Mouse,Mobile Accessories,80,33,6,63,2258,18,1,Medium
395,Barcode Scanner,Printer Supplies,3,36,9,42,102,9,1,High
396,Notebook,Mobile Accessories,71,30,6,69,770,14,0,Medium
397,Printer Cable,Computer Accessories,520,2,3,50,35,5,1,Low
398,Pen Pack,Electronics,319,1,1,28,1364,19,0,Low
399,USB Flash,Mobile Accessories,500,2,3,42,1525,13,0,Low
400,Barcode Scanner,Office Supplies,4,51,8,40,2291,0,0,High
401,Notebook,Safety,400,2,4,58,339,1,1,Low
402,Monitor Stand,Printer Supplies,4,54,10,69,763,6,1,High
403,Switch,Safety,28,5,2,57,2130,83,1,Medium
404,Router,Printer Supplies,16,35,14,52,339,3,1,High
405,Toner,Electronics,0,57,11,49,2410,2,1,High
406,HDD,Storage Devices,37,38,5,32,876,4,0,Medium
407,Switch,Mobile Accessories,387,2,2,48,1818,25,0,Low
408,USB Flash,Storage Devices,5,47,12,37,2304,5,0,High
409,Ink Cartridge,Printer Supplies,409,4,3,49,2360,21,0,Low
410,USB Flash,Mobile Accessories,4,65,15,59,1821,1,1,High
411,Keyboard,Safety,6,4,5,10,620,76,0,Medium
412,Router,Storage Devices,278,1,2,35,1398,9,0,Low
413,Ink Cartridge,Electronics,75,38,4,72,1229,8,1,Medium
414,Monitor Stand,Mobile Accessories,119,6,2,39,584,11,0,Low
415,Barcode Scanner,Office Supplies,699,1,4,65,1275,28,0,Low
416,Laptop Charger,Printer Supplies,81,38,2,69,2060,9,1,Medium
417,HDD,Storage Devices,35,31,6,30,471,16,0,Medium
418,Barcode Scanner,Safety,193,0,1,46,1098,29,0,Low
419,Printer Cable,Safety,48,38,5,40,670,6,0,Medium
420,HDD,Storage Devices,425,7,1,79,2234,30,0,Low
421,Barcode Scanner,Office Supplies,695,2,4,63,1174,32,0,Low
